Rank,Company,SS,AS,CCS,OES,RTS,TOS
844,kanoria_chemicals_industries_ltd_2022_2023,0.2515,1.0,0.3333,0.0,0.5,0.3462
845,indian_metals_ferro_alloys_ltd_2023_2024,0.1509,0.6667,0.3333,0.5,0.0,0.3461
846,kaynes_technology_india_ltd_2023_2024,0.1395,0.6667,0.4444,0.0,1.0,0.346
847,aether_industries_ltd_2022_2023,0.2276,1.0,0.5556,0.0,0.0,0.3458
848,zfsteering_gear_india_ltd_2022_2023,0.1395,0.3333,0.3333,0.5,0.5,0.3432
849,bajel_projects_ltd_2023_2024,0.2164,1.0,0.5556,0.0,0.0,0.343
850,pokarna_ltd_2023_2024,0.2569,1.0,0.1111,0.0,1.0,0.342
851,bombay_burmah_trading_corpltd_2023_2024,0.1202,0.6667,0.4444,0.0,1.0,0.3412
852,ncc_limited_2022_2023,0.2085,1.0,0.5556,0.0,0.0,0.341
853,swaraj_engines_ltd_2023_2024,0.2276,1.0,0.3333,0.0,0.5,0.3402
854,inox_wind_energy_ltd_2023_2024,0.1138,0.6667,0.4444,0.0,1.0,0.3396
855,garware_hitech_films_ltd_2023_2024,0.1138,0.6667,0.4444,0.0,1.0,0.3396
856,acc_ltd_2023_2024,0.1024,0.0,0.5556,0.7,0.0,0.3395
857,lux_industries_ltd_2023_2024,0.0882,0.6667,0.6667,0.0,0.5,0.3387
858,hester_biosciences_ltd_2023_2024,0.1086,0.6667,0.4444,0.0,1.0,0.3383
859,exide_industries_ltd_2023_2024,0.0971,0.0,0.5556,0.7,0.0,0.3382
860,rushil_decor_ltd_2023_2024,0.2171,1.0,0.3333,0.0,0.5,0.3376
861,unichem_laboratories_ltd_2023_2024,0.2171,1.0,0.3333,0.0,0.5,0.3376
862,bcl_industries_ltd_2023_2024,0.2171,1.0,0.3333,0.0,0.5,0.3376
863,dolat_algotech_ltd_2023_2024,0.125,0.0,0.2222,0.8,0.5,0.3368
864,best_agrolife_ltd_2023_2024,0.1006,0.6667,0.4444,0.0,1.0,0.3363
865,power_finance_corporation_ltd_2023_2024,0.2085,1.0,0.3333,0.0,0.5,0.3355
866,bliss_gvs_pharma_ltd_2023_2024,0.0923,0.6667,0.4444,0.0,1.0,0.3342
867,filatex_fashions_ltd_2023_2024,0.1949,1.0,0.3333,0.0,0.5,0.3321
868,procter_gamble_hygiene_health_care_ltd_2022_2023,0.2276,1.0,0.0,0.5,0.0,0.3319
869,gillette_india_ltd_2022_2023,0.2276,1.0,0.0,0.5,0.0,0.3319
870,procter_gamble_health_ltd_2022_2023,0.2276,1.0,0.0,0.5,0.0,0.3319
871,beml_ltd_2023_2024,0.1024,0.0,0.2222,1.0,0.0,0.3312
872,ramkrishna_forgings_ltd_2023_2024,0.1024,0.0,0.2222,1.0,0.0,0.3312
873,coal_india_ltd_2023_2024,0.1846,1.0,0.3333,0.0,0.5,0.3295
874,ideaforge_technology_ltd_2023_2024,0.2714,1.0,0.4444,0.0,0.0,0.329
875,gtpl_hathway_ltd_2023_2024,0.1803,1.0,0.3333,0.0,0.5,0.3284
876,mindtree_ltd_2021_2022,0.1573,1.0,0.5556,0.0,0.0,0.3282
877,thomas_cook_india_ltd_2023_2024,0.0569,0.0,0.5556,0.5,0.5,0.3281
878,godfrey_phillips_india_ltd_2023_2024,0.2647,1.0,0.4444,0.0,0.0,0.3273
879,adani_wilmar_ltd_2023_2024,0.2958,1.0,0.1111,0.3,0.0,0.3267
880,birla_corporation_ltd_2023_2024,0.2515,1.0,0.4444,0.0,0.0,0.324
881,sigachi_industries_ltd_2023_2024,0.1406,1.0,0.5556,0.0,0.0,0.324
882,uttam_sugar_mills_ltd_2023_2024,0.3607,1.0,0.3333,0.0,0.0,0.3235
883,bhagiradha_chemicals_industries_ltd_2023_2024,0.2714,1.0,0.2222,0.0,0.5,0.3234
884,abb_india_limited_2022_2023,0.2705,1.0,0.2222,0.0,0.5,0.3232
885,chaman_lal_setia_exports_ltd_2023_2024,0.1285,0.6667,0.5556,0.0,0.5,0.321
886,tata_investment_corporation_ltd_2023_2024,0.1285,0.6667,0.5556,0.0,0.5,0.321
887,heg_ltd_2023_2024,0.1285,0.6667,0.5556,0.0,0.5,0.321
888,jana_small_finance_bank_ltd_2023_2024,0.0569,0.0,0.2222,0.8,0.5,0.3198
889,aditya_vision_ltd_2023_2024,0.2569,1.0,0.2222,0.0,0.5,0.3198
890,deepak_fertilisers_petrochemicals_corporation_ltd_2023_2024,0.1564,0.6667,0.2222,0.5,0.0,0.3197
891,utkarsh_small_finance_bank_ltd_2023_2024,0.1535,0.6667,0.2222,0.3,0.5,0.3189
892,edelweiss_financial_services_ltd_2023_2024,0.1202,0.6667,0.5556,0.0,0.5,0.3189
893,sandhar_technologies_ltd_2023_2024,0.1202,0.6667,0.5556,0.0,0.5,0.3189
894,wpil_ltd_2023_2024,0.2308,1.0,0.4444,0.0,0.0,0.3188
895,hpl_electric_power_ltd_2023_2024,0.1395,0.6667,0.3333,0.0,1.0,0.3182
896,adf_foods_ltd_2023_2024,0.3607,1.0,0.1111,0.0,0.5,0.3179
897,hdfc_bank_ltd_2023_2024,0.2437,1.0,0.2222,0.0,0.5,0.3165
898,jyoti_cnc_automation_ltd_2023_2024,0.1413,0.6667,0.2222,0.3,0.5,0.3159
899,omaxe_ltd_2023_2024,0.1297,1.0,0.3333,0.0,0.5,0.3158
900,wipro_ltd_2023_2024,0.2404,1.0,0.2222,0.0,0.5,0.3157
901,ipca_laboratories_ltd_2023_2024,0.1285,0.6667,0.3333,0.0,1.0,0.3155
902,kirloskar_pneumatic_coltd_2023_2024,0.1156,0.0,0.4444,0.7,0.0,0.315
903,excel_industries_ltd_2023_2024,0.2368,1.0,0.2222,0.0,0.5,0.3148
904,orchid_pharma_ltd_2023_2024,0.1006,0.6667,0.5556,0.0,0.5,0.314
905,lloyds_enterprises_ltd_2023_2024,0.1202,0.6667,0.3333,0.0,1.0,0.3134
906,fermenta_biotech_ltd_2023_2024,0.1202,0.6667,0.3333,0.0,1.0,0.3134
907,jindal_poly_films_ltd_2023_2024,0.2085,1.0,0.4444,0.0,0.0,0.3132
908,man_infraconstruction_ltd_2023_2024,0.2085,1.0,0.4444,0.0,0.0,0.3132
909,ester_industries_ltd_2023_2024,0.3413,1.0,0.1111,0.0,0.5,0.3131
910,everest_kanto_cylinder_ltd_2023_2024,0.3413,1.0,0.1111,0.0,0.5,0.3131
911,shreyas_shipping_logistics_ltd_2023_2024,0.0947,0.6667,0.5556,0.0,0.5,0.3126
912,ganesh_benzoplast_ltd_2023_2024,0.0902,0.6667,0.5556,0.0,0.5,0.3114
913,olectra_greentech_ltd_2023_2024,0.2012,1.0,0.4444,0.0,0.0,0.3114
914,rajratan_global_wire_ltd_2023_2024,0.0902,0.6667,0.5556,0.0,0.5,0.3114
915,tatva_chintan_pharma_chem_ltd_2023_2024,0.1086,0.6667,0.3333,0.0,1.0,0.3105
916,poonawalla_fincorp_ltd_2023_2024,0.1949,1.0,0.4444,0.0,0.0,0.3098
917,vardhman_textiles_ltd_2023_2024,0.0938,0.0,0.4444,0.7,0.0,0.3096
918,mankind_pharma_ltd_2023_2024,0.1043,0.6667,0.3333,0.0,1.0,0.3094
919,repco_home_finance_ltd_2023_2024,0.1043,0.6667,0.3333,0.0,1.0,0.3094
920,tasty_bite_eatables_ltd_2023_2024,0.2093,1.0,0.2222,0.0,0.5,0.3079
921,goldiam_international_ltd_2023_2024,0.0975,0.6667,0.3333,0.0,1.0,0.3077
922,engineers_india_ltd_2022_2023,0.1087,0.3333,0.2222,0.3,1.0,0.3077
923,fsn_ecommerce_ventures_ltd_2023_2024,0.0853,0.0,0.4444,0.7,0.0,0.3074
924,dcm_nouvelle_ltd_2023_2024,0.0947,0.6667,0.3333,0.0,1.0,0.307
